YEAR;MO;DY;QV2M;PRECTOTCORR;T2M;T2MDEW;T2MWET;TS;T2M_RANGE;T2M_MAX;T2M_MIN;PS;WS10M;WS10M_MAX;WS10M_MIN;WS10M_RANGE;WS50M;WS50M_MAX;WS50M_MIN;WS50M_RANGE
1983;5;17;18.07;15.21;27.88;22.54;25.21;28.65;8.8;32.59;23.8;95.28;3.47;4.94;2.42;2.52;5.02;6.7;2.64;4.05
1983;5;18;19.17;21.39;26.73;23.56;25.15;27.12;5.66;29.86;24.19;95.39;3.49;5.67;1.91;3.77;4.94;6.65;3.73;2.92
1983;5;19;18.43;4.65;26.58;22.94;24.76;27.23;7.56;30.76;23.2;95.45;2.57;4.07;1.9;2.17;3.84;4.94;2.7;2.24
1983;5;20;17.76;11.64;26.71;22.29;24.5;27.48;8.92;31.6;22.68;95.37;3.04;5.16;1.79;3.38;4.47;5.98;1.77;4.21
1983;5;21;17.94;3.59;26.72;22.44;24.58;27.16;7.76;30.8;23.05;95.28;3.7;5.84;2.2;3.65;5.41;6.84;4.0;2.84
1983;5;22;17.52;1.94;25.93;22.11;24.02;26.15;5.68;29.23;23.55;95.42;4.16;5.93;2.3;3.62;6.0;7.13;4.94;2.2
1983;5;23;17.03;0.54;27.11;21.62;24.37;27.88;9.67;32.47;22.8;95.41;2.85;4.08;1.91;2.17;4.34;6.24;1.9;4.34
1983;5;24;17.58;3.6;26.01;22.14;24.07;26.2;6.36;29.38;23.02;95.4;2.96;4.4;2.16;2.24;4.73;6.01;3.33;2.68
1983;5;25;17.21;6.29;25.85;21.8;23.83;26.01;5.93;29.14;23.21;95.46;3.34;6.06;1.9;4.16;5.17;6.96;3.32;3.64
1983;5;26;16.78;7.73;26.07;21.41;23.74;26.88;8.98;30.81;21.82;95.5;3.11;4.16;2.21;1.95;4.65;6.84;2.88;3.96
1983;5;27;17.4;6.88;27.13;21.94;24.54;27.92;10.91;33.24;22.33;95.49;3.03;4.75;1.12;3.63;4.47;6.76;0.77;5.99
1983;5;28;17.82;10.44;26.52;22.36;24.44;26.89;8.02;30.72;22.69;95.49;3.3;5.66;1.83;3.84;4.91;6.7;3.4;3.31
1983;5;29;17.46;3.81;27.23;22.0;24.62;27.8;9.4;32.82;23.42;95.27;4.3;6.3;3.09;3.22;6.24;7.59;3.24;4.34
1983;5;30;18.31;8.34;27.28;22.77;25.03;27.83;9.11;32.26;23.15;95.18;3.87;6.38;2.02;4.36;5.65;7.52;2.38;5.14
1983;5;31;18.49;3.26;26.69;22.94;24.81;27.24;8.27;31.25;22.98;95.28;3.48;5.98;1.93;4.05;5.01;6.95;3.8;3.15
1983;6;1;18.55;2.49;25.99;23.05;24.52;26.27;6.15;29.48;23.33;95.45;3.48;5.19;2.27;2.91;5.22;6.06;3.7;2.37
1983;6;2;18.07;4.29;25.45;22.6;24.03;25.65;6.06;28.92;22.87;95.4;3.13;4.44;2.22;2.22;4.81;5.77;3.62;2.15
1983;6;3;17.76;4.39;25.69;22.28;23.98;25.94;6.68;29.65;22.98;95.33;3.32;4.14;2.76;1.39;5.09;6.49;3.15;3.34
1983;6;4;17.58;2.76;25.19;22.14;23.67;25.4;6.18;28.67;22.49;95.44;3.98;5.11;2.82;2.29;5.86;6.66;5.23;1.43
1983;6;5;17.76;9.78;24.94;22.33;23.63;25.08;6.06;28.47;22.41;95.43;3.57;5.29;2.13;3.15;5.41;6.34;4.34;2.0
1983;6;6;16.3;3.53;25.3;20.89;23.09;25.45;6.88;29.31;22.42;95.47;2.52;4.28;0.48;3.8;3.6;5.11;0.77;4.34
1983;6;7;16.24;3.1;25.55;20.84;23.19;26.0;7.95;29.94;21.98;95.47;2.45;4.96;0.55;4.41;3.35;6.1;0.77;5.33
1983;6;8;15.93;3.62;26.15;20.4;23.28;26.62;9.8;32.12;22.31;95.47;2.14;4.36;0.15;4.21;3.33;7.57;0.23;7.34
1983;6;9;16.66;1.29;25.7;21.29;23.49;26.36;8.76;30.36;21.6;95.52;2.52;3.59;1.38;2.2;3.5;5.93;2.29;3.64
1983;6;10;15.26;5.61;26.3;19.79;23.05;26.58;10.09;32.04;21.94;95.5;1.96;4.23;0.52;3.71;3.15;7.45;0.83;6.62
1983;6;11;16.91;7.49;25.28;21.52;23.4;25.72;9.06;30.39;21.33;95.49;4.24;5.87;2.8;3.06;6.02;7.0;4.82;2.18
1983;6;12;17.46;8.37;25.67;22.05;23.87;26.11;8.22;30.41;22.19;95.57;4.17;6.48;2.67;3.81;5.96;7.72;3.91;3.81
1983;6;13;17.46;7.45;26.03;22.05;24.04;26.58;8.75;30.8;22.05;95.54;2.62;4.89;0.66;4.23;3.88;6.65;0.59;6.06
1983;6;14;17.4;11.83;25.98;22.0;23.99;26.42;8.26;30.46;22.19;95.64;2.52;3.99;1.21;2.79;3.73;5.56;1.99;3.56
1983;6;15;16.36;6.51;25.05;21.04;23.05;25.12;5.88;27.98;22.1;95.85;1.62;3.91;0.09;3.82;2.29;4.78;0.17;4.61
1983;6;16;16.54;3.34;25.36;21.24;23.3;26.0;8.91;30.48;21.58;95.84;2.43;3.77;1.15;2.61;3.48;5.38;1.01;4.38
1983;6;17;16.36;2.74;26.22;21.0;23.61;26.76;11.5;32.6;21.1;95.71;2.44;3.62;1.83;1.79;3.81;5.78;1.65;4.13
1983;6;18;17.46;4.68;26.15;22.01;24.08;26.41;9.63;31.33;21.7;95.6;4.33;6.27;2.87;3.4;6.56;7.33;6.12;1.2
